Index,tracks,Timestamp,X,Y,Z,Speed_X,Speed_Y,Speed_Z,Speed,Year,Month,Day,Hour,Min,Sec
554060,8,1579018656.84766,-2028.08343475999,100.302524069324,-361.270854935554,-1.00565807640197,-0.800509988861312,NaN,1.28536547678054,2020,1,14,16,17,36.847658854
554071,8,1579018661.1065,-2034.06228471,87.9251963198185,-356.871431889534,-2.44727946993503,NaN,1.67148808854841,2.96362096667653,2020,1,14,16,17,41.106497396
554075,8,1579018661.56104,-2036.42060516006,90.8133282195777,-367.656380800422,-15.5133674676435,-9.38588138583874,8.43017192969758,19.9956779914919,2020,1,14,16,17,41.561036458
554086,8,1579018663.83295,-2039.69926815003,87.1220997199416,-369.724969965314,-2.01783301959344,NaN,1.63891183385704,2.59955421065193,2020,1,14,16,17,43.832953125
554101,8,1579018675.85142,-2049.92799174995,87.0497846100479,-376.828954402665,-0.844248090817832,NaN,0.919143664474563,1.24803041421004,2020,1,14,16,17,55.851419271
554108,8,1579018678.62383,-2033.87375216,113.447554389946,-347.492772207369,NaN,-5.37261088813227,NaN,5.37261088813227,2020,1,14,16,17,58.623833333
554112,8,1579018679.44842,-2045.68577761005,97.9323803698644,-369.412898935324,NaN,-21.844713124174,-13.3965980855048,25.6253845189103,2020,1,14,16,17,59.448421875
554115,8,1579018679.87659,-2042.68891506002,101.768576449715,-363.030717441216,NaN,-3.37616833368147,-8.69622064764756,9.32859936806835,2020,1,14,16,17,59.876591146
554119,8,1579018680.31603,-2043.62563274999,100.520206749439,-363.275843166998,10.4322211795673,-15.4159346270236,-16.6757235130992,24.9912391419354,2020,1,14,16,18,0.316033854
554122,8,1579018680.73294,-1879.51313496998,41.0312482500449,-419.335479587011,NaN,NaN,1.34736020755974,NaN,2020,1,14,16,18,0.7329375
554126,8,1579018681.54484,-1868.99563414999,39.6969836493954,-373.483999013291,NaN,29.8642144403364,22.6317001857408,NaN,2020,1,14,16,18,1.544841146
554133,8,1579018683.67879,-1877.54964071,52.4046041099355,-418.336679934404,1.03113438237804,NaN,NaN,1.03113438237804,2020,1,14,16,18,3.678786458
554135,8,1579018684.1026,-1873.61529491004,53.8274469794706,-405.665890050764,NaN,16.2930390014463,27.1063130855036,31.6261810687284,2020,1,14,16,18,4.102596354
554307,8,1579018758.60555,-1860.06100391003,168.333722289652,-232.989723331545,NaN,1.60822172259415,3.14180565393483,3.5294928638716,2020,1,14,16,19,18.605554687
554332,8,1579018768.10616,-1889.46484221006,198.747456260026,-199.144578159073,NaN,18.6102841239093,30.0118565726478,35.3136547260378,2020,1,14,16,19,28.106161458
